imdb_score,release_year,movie_title_length,aspect_ratio,colour_film,genres_length,distributor_length,actor1_length,is_Miramax,is_Nov,is_Dec
7.3,2014,20,2.35,Color,5,21,20,0,0,0
6.9,2003,5,1.85,Color,21,29,13,0,0,0
7.2,2005,12,2.35,Color,11,18,14,0,0,0
5.9,2012,14,2.35,Color,15,9,13,0,0,0
7.6,1979,20,1.85,Color,21,18,14,0,0,0
6.4,2006,13,1.85,Color,14,23,14,0,0,0
7.1,1987,10,1.85,Color,23,25,11,0,0,0
8.1,2007,22,2.35,Color,20,34,15,0,1,0
7.1,1998,5,2.35,Color,13,15,12,0,0,0
6.5,2007,16,1.85,Color,20,12,12,0,0,0
8.1,2005,8,1.85,Black and White,14,15,14,0,0,0
4.6,2009,27,2.35,Color,31,20,16,0,1,0
5.1,2005,20,2.35,Color,23,12,13,0,0,0
8.2,2007,13,2.35,Color,25,18,15,0,0,0
7.3,2008,10,2.35,Color,21,12,9,0,0,0
5.8,1996,11,1.85,Color,29,23,13,0,0,0
5.7,2012,36,2.35,Color,20,9,13,0,0,0
7.5,2004,7,2.4,Color,29,20,12,0,0,0
8.2,1995,6,2.35,Color,21,25,14,0,1,0
6.2,2010,10,1.85,Color,19,20,13,0,0,0
7.1,2010,6,1.85,Color,14,11,10,0,0,0
5.8,2006,19,2.35,Color,6,15,14,0,0,0
6.1,1998,11,1.85,Color,28,16,15,0,0,0
7.2,2003,12,1.85,Color,22,15,14,0,0,0
6.5,2004,12,2.35,Color,27,16,13,0,0,0
6.2,2013,6,2.35,Color,29,17,13,0,0,0
6.5,2006,7,2.35,Color,25,20,14,0,0,0
4.9,1996,11,2.35,Color,31,18,20,0,0,0
6.3,2011,20,2.35,Color,20,16,12,0,0,0
5.1,1997,7,1.85,Color,25,20,12,0,0,0
6.8,1973,16,1.66,Color,25,14,12,0,0,0
5.7,2013,9,2.35,Color,22,4,14,0,1,0
7.3,1986,27,2.35,Color,31,21,11,0,0,0
6.7,1994,10,2.35,Color,28,12,16,0,0,0
8.3,1997,17,2.35,Color,28,12,12,0,0,0
6,1998,11,2.35,Color,30,33,14,0,0,0
8.1,1984,14,1.85,Color,13,14,13,0,0,0
7.5,1995,11,2.35,Color,9,20,17,0,0,0
7.7,2004,3,1.85,Color,23,16,15,0,0,0
6.4,2014,19,1.85,Color,37,35,10,0,0,0
8.1,1983,6,2.35,Black and White,23,29,14,0,0,0
8.4,1984,27,1.85,Color,11,16,14,0,0,0
6.8,1999,17,2.35,Color,12,15,14,0,0,0
7.8,2008,30,1.85,Color,9,7,15,1,1,0
4.5,2002,11,2.35,Color,25,13,12,0,1,0
5.5,1995,10,2.35,Color,28,18,17,0,0,0
5.6,2007,15,1.85,Color,14,9,9,0,0,0
5.1,2015,11,2.35,Color,19,12,12,0,0,0
6.9,1984,8,1.85,Color,28,18,10,0,0,0
6.9,1996,7,2.35,Color,12,27,11,0,0,0
6.5,1990,19,1.33,Color,19,10,12,0,0,0
6.2,2013,5,2.35,Color,13,10,12,0,0,0
6.8,2012,8,2.35,Color,14,9,14,0,0,0
7.4,2014,9,2.35,Color,11,12,17,0,0,0
7.6,1996,24,2.35,Color,38,35,12,0,1,0
6.7,2007,12,2.35,Color,27,18,13,0,0,0
6.8,2005,19,2.35,Color,26,4,13,0,0,0
6.3,2009,38,2.35,Color,21,43,13,0,0,1
6.9,1990,12,1.85,Color,14,20,13,0,0,0
6,2014,11,2.35,Color,20,18,14,0,0,1
5.1,2007,22,2.35,Color,6,34,10,0,0,0
7.7,1997,18,1.85,Color,20,16,14,0,0,1
6,2016,13,2.35,Color,6,9,14,0,0,0
7.3,1996,18,2.35,Color,11,20,11,0,0,0
7.7,2015,10,2.35,Black and White,29,3,13,0,0,0
5.5,2010,17,2.35,Color,21,29,13,0,0,0
5.2,2001,11,1.85,Color,31,18,11,0,0,0
6.6,1984,35,2.35,Color,23,18,13,0,0,0
7.3,2016,19,2.35,Color,36,18,14,0,0,0
7.9,1987,16,2.35,Color,20,18,14,0,0,0
6.8,2008,9,2.35,Color,19,15,15,0,0,0
6.5,2010,7,2.35,Color,30,21,12,0,0,0
7.1,2016,23,2.35,Color,36,18,12,0,0,0
5.2,1995,9,2.35,Color,20,14,11,0,0,0
6.6,1989,15,2.35,Color,25,14,11,0,0,0
6.6,2000,13,2.35,Color,31,20,15,0,0,0
8,2014,7,1.85,Color,5,13,14,0,0,0
7.6,2001,10,1.85,Color,23,21,17,0,0,0
6.9,1981,7,1.85,Color,17,29,11,0,0,0
5.9,1991,10,1.85,Color,27,29,14,0,0,0
5.4,2008,17,1.85,Color,21,8,12,0,0,0
6.2,2000,17,1.85,Color,27,12,14,0,0,1
6.6,2011,21,2.35,Color,14,11,10,0,0,0
7.9,2014,12,2.35,Color,20,17,15,0,0,0
7.5,2013,2,2.35,Color,21,12,13,0,0,0
6.2,2004,15,1.85,Color,21,20,12,0,0,0
7.3,2001,8,1.85,Color,13,7,9,1,0,0
5.5,2007,15,2.35,Color,30,17,16,0,0,0
6.5,2010,17,2.35,Color,20,20,16,0,0,0
5.2,2002,19,2.35,Color,20,12,7,0,0,0
6.3,2002,11,2.35,Color,28,21,14,0,0,0
7.1,1998,11,1.85,Color,12,15,14,0,0,0
6.2,2011,19,2.35,Color,14,18,15,0,0,0
6.6,2004,8,1.85,Color,6,23,10,0,0,0
7.3,2007,15,2.35,Color,28,12,13,0,0,0
6.9,1999,16,1.85,Color,14,10,13,0,0,0
6.5,2000,18,1.85,Color,6,21,14,0,0,0
7,2000,13,1.85,Color,14,49,12,0,0,0
6.5,2005,16,2.35,Black and White,23,18,13,0,0,0
5.8,2002,9,1.85,Color,14,29,13,0,0,0
6.4,2010,9,2.35,Color,14,18,10,0,0,0
6.4,2008,14,2.35,Color,6,34,13,0,0,0
7.7,1998,30,2.35,Color,22,20,11,0,0,0
7.6,2004,12,2.35,Color,20,24,14,0,0,0
