imdb_score,movie_id,release_year,movie_title_length,aspect_ratio,genres_length,distributor_length,actor1_length,is_Miramax,is_Nov,is_Dec,comput,campus,holiday,riot,terror,escap,wish,love,action,adventure,scifi,thriller,western,sport,horror,drama,war,crime,documentary,biography,fantasy,comedy,family,movie_budget,duration,nb_news_articles,movie_meter_IMDBpro,nb_faces,actor3_star_meter,animation,actor1_star_meter,R,PG-13,Approved,TV-G,TV-14,is_color
7.3,2,2014,20,2.35,5,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25000000,121,2141,4000,3,513,0,259,1,0,0,0,0,1
6.9,12,2003,5,1.85,21,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,35000000,109,331,8556,1,1845,0,2735,0,0,0,0,0,1
7.2,15,2005,12,2.35,11,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30000000,136,223,3940,0,6729,0,573,0,1,0,0,0,1
5.9,20,2012,14,2.35,15,9,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14000000,92,620,5452,0,11963,0,2047,0,1,0,0,0,1
7.6,22,1979,20,1.85,21,18,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8000000,112,97,4722,0,5451,0,102,0,0,0,0,0,1
6.4,23,2006,13,1.85,14,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20000000,105,173,2446,0,3711,0,573,0,1,0,0,0,1
7.1,26,1987,10,1.85,23,25,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,22700000,96,408,2294,2,8419,0,12294,0,0,0,0,0,1
8.1,31,2007,22,2.35,20,34,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,122,4135,513,0,3592,0,628,1,0,0,0,0,1
7.1,38,1998,5,2.35,13,15,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45000000,110,1723,697,1,3001,0,547,1,0,0,0,0,1
6.5,39,2007,16,1.85,20,12,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40000000,95,378,6854,4,642,0,358742,0,1,0,0,0,1
8.1,40,2005,8,1.85,14,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40000000,147,7764,1135,1,8675,0,779,1,0,0,0,0,0
4.6,43,2009,27,2.35,31,20,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,50000000,130,16092,2667,2,1665,0,740,0,1,0,0,0,1
5.1,58,2005,20,2.35,23,12,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50000000,107,368,2557,5,5364,0,4638,0,1,0,0,0,1
8.2,59,2007,13,2.35,25,18,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,15000000,148,1183,1114,0,4723,0,364,1,0,0,0,0,1
7.3,65,2008,10,2.35,21,12,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18000000,114,1652,2246,4,4548,0,20,1,0,0,0,0,1
5.8,68,1996,11,1.85,29,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,47000000,108,37,17965,1,3512432,0,513,1,0,0,0,0,1
5.7,81,2012,36,2.35,20,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,40000000,110,846,4144,12,2216,0,54,0,1,0,0,0,1
7.5,90,2004,7,2.4,29,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,28000000,135,285,5650,0,9326,0,3046,0,0,0,0,0,1
8.2,93,1995,6,2.35,21,25,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,52000000,178,889,1873,2,3613,0,379,1,0,0,0,0,1
6.2,105,2010,10,1.85,19,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30000000,107,755,6956,0,81561,0,1263,0,1,0,0,0,1
7.1,117,2010,6,1.85,14,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8000000,92,3068,978,1,1588,0,18,0,1,0,0,0,1
5.8,120,2006,19,2.35,6,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25000000,86,348,3882,0,5322,0,6699,1,0,0,0,0,1
6.1,157,1998,11,1.85,28,16,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,13000000,91,53,10747,5,11054,0,3767,1,0,0,0,0,1
7.2,160,2003,12,1.85,22,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000000,92,502,6818,2,23052,0,6614,1,0,0,0,0,1
6.5,162,2004,12,2.35,27,16,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,33000000,140,708,1554,1,8439,0,1724,1,0,0,0,0,1
