"imdb_score","movie_id","release_year","movie_title_length","aspect_ratio","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","comput","campus","holiday","riot","terror","escap","wish","love","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family","movie_budget","duration","nb_news_articles","movie_meter_IMDBpro","nb_faces","actor3_star_meter","animation","actor1_star_meter","R","PG.13","Approved","TV.G","TV.14","is_color","log_nb_news_articles","log_movie_meter_IMDBpro","log_movie_budget","log_duration"
7.3,2,2014,20,2.35,5,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25000000,121,2141,4000,3,513,0,259,1,0,0,0,0,1,7.66902828858968,8.29404964010203,17.0343863828325,4.79579054559674
6.9,12,2003,5,1.85,21,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,35000000,109,331,8556,1,1845,0,2735,0,0,0,0,0,1,5.80211837537706,9.0543880702023,17.3708586194537,4.69134788222914
7.2,15,2005,12,2.35,11,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30000000,136,223,3940,0,6729,0,573,0,1,0,0,0,1,5.40717177146012,8.27893600229198,17.2167079396264,4.91265488573605
5.9,20,2012,14,2.35,15,9,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14000000,92,620,5452,0,11963,0,2047,0,1,0,0,0,1,6.42971947803914,8.60373779281642,16.4545678875795,4.52178857704904
7.6,22,1979,20,1.85,21,18,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8000000,112,97,4722,0,5451,0,102,0,0,0,0,0,1,4.57471097850338,8.45998771764546,15.8949520996441,4.71849887129509
6.4,23,2006,13,1.85,14,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20000000,105,173,2446,0,3711,0,573,0,1,0,0,0,1,5.15329159449778,7.80220931624712,16.8112428315183,4.65396035015752
7.1,26,1987,10,1.85,23,25,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,22700000,96,408,2294,2,8419,0,12294,0,0,0,0,0,1,6.01126717440416,7.73805229768932,16.9378754824516,4.56434819146784
8.1,31,2007,22,2.35,20,34,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,122,4135,513,0,3592,0,628,1,0,0,0,0,1,8.32724260745779,6.24027584517077,17.0343863828325,4.80402104473326
7.1,38,1998,5,2.35,13,15,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45000000,110,1723,697,1,3001,0,547,1,0,0,0,0,1,7.45182223652793,6.54678541076052,17.6221730477346,4.70048036579242
6.5,39,2007,16,1.85,20,12,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40000000,95,378,6854,4,642,0,358742,0,1,0,0,0,1,5.93489419561959,8.83258770243455,17.5043900120782,4.55387689160054
8.1,40,2005,8,1.85,14,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40000000,147,7764,1135,1,8675,0,779,1,0,0,0,0,0,8.9572529442889,7.0343879299155,17.5043900120782,4.99043258677874
4.6,43,2009,27,2.35,31,20,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,50000000,130,16092,2667,2,1665,0,740,0,1,0,0,0,1,9.68607753306968,7.88870952418201,17.7275335633924,4.86753445045558
5.1,58,2005,20,2.35,23,12,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50000000,107,368,2557,5,5364,0,4638,0,1,0,0,0,1,5.90808293816893,7.84658997529119,17.7275335633924,4.67282883446191
8.2,59,2007,13,2.35,25,18,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,15000000,148,1183,1114,0,4723,0,364,1,0,0,0,0,1,7.07580886397839,7.01571242048723,16.5235607590665,4.99721227376411
7.3,65,2008,10,2.35,21,12,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18000000,114,1652,2246,4,4548,0,20,1,0,0,0,0,1,7.40974195408092,7.71690613529839,16.7058823158604,4.7361984483945
5.8,68,1996,11,1.85,29,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,47000000,108,37,17965,1,3512432,0,513,1,0,0,0,0,1,3.61091791264422,9.79618069954762,17.6656581596743,4.68213122712422
5.7,81,2012,36,2.35,20,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,40000000,110,846,4144,12,2216,0,54,0,1,0,0,0,1,6.74051935960622,8.32941678393932,17.5043900120782,4.70048036579242
7.5,90,2004,7,2.4,29,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,28000000,135,285,5650,0,9326,0,3046,0,0,0,0,0,1,5.65248918026865,8.63941082414049,17.1477150681395,4.90527477843843
8.2,93,1995,6,2.35,21,25,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,52000000,178,889,1873,2,3613,0,379,1,0,0,0,0,1,6.7900972355139,7.53529670244409,17.7667542765457,5.18178355029209
6.2,105,2010,10,1.85,19,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30000000,107,755,6956,0,81561,0,1263,0,1,0,0,0,1,6.62671774924902,8.84735987547417,17.2167079396264,4.67282883446191
7.1,117,2010,6,1.85,14,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8000000,92,3068,978,1,1588,0,18,0,1,0,0,0,1,8.02878116248715,6.88550967003482,15.8949520996441,4.52178857704904
5.8,120,2006,19,2.35,6,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25000000,86,348,3882,0,5322,0,6699,1,0,0,0,0,1,5.85220247977447,8.26410576372896,17.0343863828325,4.45434729625351
6.1,157,1998,11,1.85,28,16,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,13000000,91,53,10747,5,11054,0,3767,1,0,0,0,0,1,3.97029191355212,9.28238192484115,16.3804599154258,4.51085950651685
7.2,160,2003,12,1.85,22,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000000,92,502,6818,2,23052,0,6614,1,0,0,0,0,1,6.21860011969173,8.82732145269785,13.8155105579643,4.52178857704904
6.5,162,2004,12,2.35,27,16,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,33000000,140,708,1554,1,8439,0,1724,1,0,0,0,0,1,6.56244409369372,7.34858753092759,17.3120181194308,4.9416424226093
6.2,163,2013,6,2.35,29,17,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,35000000,118,881,4776,0,2252,0,304,1,0,0,0,0,1,6.78105762593618,8.47135865507244,17.3708586194537,4.77068462446567
6.5,164,2006,7,2.35,25,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12000000,104,2550,3278,0,6852,0,573,0,1,0,0,0,1,7.84384863815247,8.09498875930377,16.3004172077523,4.64439089914137
4.9,172,1996,11,2.35,31,18,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,45000000,100,177,6778,0,1266,0,3271,0,0,0,0,0,1,5.17614973257383,8.821437352167,17.6221730477346,4.60517018598809
6.3,173,2011,20,2.35,20,16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,23000000,97,774,5651,4,2226,0,580,1,0,0,0,0,1,6.65157187358973,8.63958779962984,16.9510047738934,4.57471097850338
5.1,175,1997,7,1.85,25,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3000000,98,210,10945,0,6088,0,2781,0,0,0,0,0,1,5.34710753071747,9.30063800995696,14.9141228466324,4.58496747867057
6.8,177,1973,16,1.66,25,14,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7000000,121,595,3488,3,11575,0,7038,0,0,0,0,0,1,6.38856140554563,8.15708378502887,15.7614207070196,4.79579054559674
5.7,178,2013,9,2.35,22,4,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,3000000,85,54,71,0,7775,0,6743,1,0,0,0,0,1,3.98898404656427,4.26267987704132,14.9141228466324,4.44265125649032
7.3,181,1986,27,2.35,31,21,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,25000000,99,724,2040,1,23888,0,10959,0,1,0,0,0,1,6.58479139238572,7.62070508683826,17.0343863828325,4.59511985013459
6.7,183,1994,10,2.35,28,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,45000000,119,118,4023,3,2271,0,1682,0,1,0,0,0,1,4.77068462446567,8.29978317194979,17.6221730477346,4.77912349311153
