"imdb_score","movie_id","release_year","movie_title_length","aspect_ratio","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","comput","campus","holiday","riot","terror","escap","wish","love","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family","movie_budget","duration","nb_news_articles","movie_meter_IMDBpro","nb_faces","actor3_star_meter","animation","actor1_star_meter","R","PG.13","Approved","TV.G","TV.14","is_color","log_nb_news_articles","log_movie_meter_IMDBpro","log_movie_budget","log_duration","log_actor1_star_meter","log_actor3_star_meter","log_nb_faces"
7.3,2,2014,20,2.35,5,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25000000,121,2141,4000,3,513,0,259,1,0,0,0,0,1,7.66902828858968,8.29404964010203,17.0343863828325,4.79579054559674,5.55682806169954,6.24027584517077,1.09861228866811
6.9,12,2003,5,1.85,21,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,35000000,109,331,8556,1,1845,0,2735,0,0,0,0,0,1,5.80211837537706,9.0543880702023,17.3708586194537,4.69134788222914,7.91388671485608,7.52023455647463,0
7.2,15,2005,12,2.35,11,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30000000,136,223,3940,0,6729,0,573,0,1,0,0,0,1,5.40717177146012,8.27893600229198,17.2167079396264,4.91265488573605,6.35088571671474,8.81418182318832,0
5.9,20,2012,14,2.35,15,9,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14000000,92,620,5452,0,11963,0,2047,0,1,0,0,0,1,6.42971947803914,8.60373779281642,16.4545678875795,4.52178857704904,7.62413058566129,9.38957383217091,0
7.6,22,1979,20,1.85,21,18,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8000000,112,97,4722,0,5451,0,102,0,0,0,0,0,1,4.57471097850338,8.45998771764546,15.8949520996441,4.71849887129509,4.62497281328427,8.60355435706428,0
6.4,23,2006,13,1.85,14,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20000000,105,173,2446,0,3711,0,573,0,1,0,0,0,1,5.15329159449778,7.80220931624712,16.8112428315183,4.65396035015752,6.35088571671474,8.2190566610606,0
7.1,26,1987,10,1.85,23,25,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,22700000,96,408,2294,2,8419,0,12294,0,0,0,0,0,1,6.01126717440416,7.73805229768932,16.9378754824516,4.56434819146784,9.41686661746695,9.03824633533766,0.693147180559945
8.1,31,2007,22,2.35,20,34,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,122,4135,513,0,3592,0,628,1,0,0,0,0,1,8.32724260745779,6.24027584517077,17.0343863828325,4.80402104473326,6.4425401664682,8.18646442942209,0
7.1,38,1998,5,2.35,13,15,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45000000,110,1723,697,1,3001,0,547,1,0,0,0,0,1,7.45182223652793,6.54678541076052,17.6221730477346,4.70048036579242,6.30444880242198,8.00670084544037,0
6.5,39,2007,16,1.85,20,12,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40000000,95,378,6854,4,642,0,358742,0,1,0,0,0,1,5.93489419561959,8.83258770243455,17.5043900120782,4.55387689160054,12.7903587461558,6.46458830368996,1.38629436111989
