"imdb_score","release_year","movie_title_length","aspect_ratio","colour_film","genres_length","distributor_length","actor1_length","is_Miramax","is_Nov","is_Dec","comput","campus","holiday","riot","terror","escap","wish","love","dummy_R","dummy_PG.13","dummy_Approved","dummy_TV.G","dummy_TV.14","action","adventure","scifi","thriller","western","sport","horror","drama","war","crime","documentary","biography","fantasy","comedy","family","movie_budget","duration","nb_news_articles","movie_meter_IMDBpro","nb_faces","actor3_star_meter"
7.3,2014,20,2.35,"Color",5,21,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25000000,121,2141,4000,3,513
6.9,2003,5,1.85,"Color",21,29,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,35000000,109,331,8556,1,1845
7.2,2005,12,2.35,"Color",11,18,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,30000000,136,223,3940,0,6729
5.9,2012,14,2.35,"Color",15,9,13,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,14000000,92,620,5452,0,11963
7.6,1979,20,1.85,"Color",21,18,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,8000000,112,97,4722,0,5451
6.4,2006,13,1.85,"Color",14,23,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20000000,105,173,2446,0,3711
7.1,1987,10,1.85,"Color",23,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,22700000,96,408,2294,2,8419
8.1,2007,22,2.35,"Color",20,34,15,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,25000000,122,4135,513,0,3592
7.1,1998,5,2.35,"Color",13,15,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45000000,110,1723,697,1,3001
6.5,2007,16,1.85,"Color",20,12,12,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40000000,95,378,6854,4,642
8.1,2005,8,1.85,"Black and White",14,15,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40000000,147,7764,1135,1,8675
4.6,2009,27,2.35,"Color",31,20,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,50000000,130,16092,2667,2,1665
5.1,2005,20,2.35,"Color",23,12,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50000000,107,368,2557,5,5364
8.2,2007,13,2.35,"Color",25,18,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,15000000,148,1183,1114,0,4723
7.3,2008,10,2.35,"Color",21,12,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,18000000,114,1652,2246,4,4548
5.8,1996,11,1.85,"Color",29,23,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,47000000,108,37,17965,1,3512432
5.7,2012,36,2.35,"Color",20,9,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,40000000,110,846,4144,12,2216
7.5,2004,7,2.4,"Color",29,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,28000000,135,285,5650,0,9326
8.2,1995,6,2.35,"Color",21,25,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,52000000,178,889,1873,2,3613
6.2,2010,10,1.85,"Color",19,20,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30000000,107,755,6956,0,81561
7.1,2010,6,1.85,"Color",14,11,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8000000,92,3068,978,1,1588
5.8,2006,19,2.35,"Color",6,15,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25000000,86,348,3882,0,5322
6.1,1998,11,1.85,"Color",28,16,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,13000000,91,53,10747,5,11054
7.2,2003,12,1.85,"Color",22,15,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1000000,92,502,6818,2,23052
6.5,2004,12,2.35,"Color",27,16,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,33000000,140,708,1554,1,8439
6.2,2013,6,2.35,"Color",29,17,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,35000000,118,881,4776,0,2252
6.5,2006,7,2.35,"Color",25,20,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12000000,104,2550,3278,0,6852
4.9,1996,11,2.35,"Color",31,18,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,45000000,100,177,6778,0,1266
6.3,2011,20,2.35,"Color",20,16,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,23000000,97,774,5651,4,2226
5.1,1997,7,1.85,"Color",25,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3000000,98,210,10945,0,6088
