"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",6.51576360341306,0.0291610279887516,223.440806199508,0
"celebr",0.100903063253595,0.446737778016734,0.225866421464395,0.821329723294291
"anim",-0.378867766800716,0.252955899587729,-1.4977621293601,0.134361959690426
"disney",0.984236396586999,1.09233512535174,0.901038860459664,0.367682397153042
"comput",-0.594670271063193,0.252395128190572,-2.35610835805906,0.0185690748661897
"`small town`",0.215682387682207,0.252275124568406,0.854949088029181,0.392687635897396
"shot",-0.10034373871033,0.317146786812046,-0.316395255707881,0.751737438353188
"deed",0.684236396586881,1.09233512535173,0.626397870677788,0.531129611041078
"bartend",-0.165763603413065,0.772672761144895,-0.214532738500381,0.830154770883797
"ident",0.0862979326456362,0.13920026471312,0.619955233730976,0.535361955394676
"reveng",0.00662790943619945,0.22180962651165,0.0298810720726376,0.976165054593297
"univers",-0.163550264976432,0.30446839062899,-0.537166648526499,0.591215704660503
"power",0.0391547366093174,0.330501422507312,0.118470705246212,0.905707288191271
"school",-0.104101740246237,0.110204386335578,-0.944624290445581,0.344971397820923
"campus",-1.46576360341308,0.772672761144904,-1.89700436862973,0.0579795955548401
"holiday",-1.86576360341298,0.772672761144882,-2.41468794713101,0.0158430681052009
"student",0.0294300808162645,0.187213603398248,0.157200546766143,0.875103579608053
"stori",0.118253353294639,0.446880174389879,0.264619824444192,0.791331184923538
"`soccer team`",-0.815763603413057,1.09233512535174,-0.746807078231026,0.45527286196881
"riot",-2.71576360341306,0.772672761144899,-3.5147655514464,0.000450502665498742
"killer",-0.185256076572878,0.187776182434777,-0.986579203873346,0.323975183269544
"terror",-0.580936636186573,0.267800466848241,-2.16928910925231,0.0301849606301385
"mentor",0.816727673523599,0.635810959559373,1.28454481830512,0.199108727950591
"fate",0.274538955202927,0.489401323087421,0.560968968107768,0.574885154890704
"kidnap",-0.284640546221765,0.348509914933716,-0.816735863241943,0.414182269545047
"journey",-0.505461044797053,0.489401323087439,-1.03281503533399,0.30182253455829
"rescu",-0.0564706597386147,0.25913712610583,-0.217918059782574,0.827516467593222
"turtl",-0.702885405143015,0.547108253261788,-1.28472820680826,0.19904462685143
"escap",0.473747920066807,0.242468275785569,1.95385527666214,0.0508655734757245
"live",-0.269581754918205,0.366356426670058,-0.735845573581247,0.461915944009862
"dream",-0.217336685732952,0.275670503199944,-0.788392966277273,0.430565704184769
"wish",0.669099811190882,0.283766304563179,2.35792551980713,0.0184787015243674
"answer",-0.715763603413077,1.09233512535174,-0.65526008163712,0.512380019035771
"sky",0.0842363965869327,0.631109276640191,0.133473551577911,0.893833082063572
"`napoleon bonapart`",0.784236396586936,1.09233512535174,0.717944867271758,0.472879966246385
"origin",-0.434943255363827,0.489441683877038,-0.888651844931739,0.374303241621703
"emperor",0.784236396586922,0.631109276640188,1.24263170518096,0.214157646347884
"prison",0.132727013859836,0.198588318824977,0.668352573027285,0.50399013183687
"love",0.248487206919883,0.108798299931113,2.28392545726557,0.0224863231133853
